position_idx,position,match_title
1,Senior Manager @ AWS | Business Operations & Strategy,Gas Operations Manager
2,Graduate Civil Engineer at Westwood Professional Services,Civil Engineer
3,Forensic Psychiatrist at Arkansas State Hospital,Forensic Psychiatrist
5,Experienced Customer Service & Retail Manager with Education in Communications,Retail Manager
6,Technical Customer Engineer at COFICAB Group,Customer Engineer
7,Senior Operations Manager at TMone,Gas Operations Manager
8,Registerd Medical Assistant,Registered Medical Assistant (RMA)
9,Freelance Stenographic Court Reporter,Court Reporter
10,Graphic Designer. Illustrator. The Works,Graphic Designer
12,Freelance Writer/Proofreader/Copy Editor,Copy Editor
13,IT Customer Service Manager | Technical Professional Services | Cisco Technology,Technical Services Manager
14,Logistics Supervisor at Ferrellgas,Logistics Supervisor
16,"Editorial Assistant, Special Projects",Editorial Assistant
17,Jr. Art Director at JUICE,Art Director
20,Developer/Data Analyst,C Developer
23,"freelance hairstylist, director, producer",Director
24,Sr. Superintendent at Layton Construction,Construction Superintendent
26,Administrative Assistant,"Business Operations Specialists, All Other - Administrative Assistant"
29,Payments! POS Development. R&D Tax Credit Get Money Back Now!! Tech Co's We Have Money For You! Passionate about Marketing! Lead Generation Expert!B2B Data. Mountain Lover. CO Brand Ambassador!!,Brand Ambassador
31,"Associate Dean for Graduate Education at Loyola University Chicago, Stritch School of Medicine",Education Dean
34,. at .,Attorney at Law
35,B.S. Business Administration,Business Administration Professor
39,Mechanical engineer project manager,Mechanical Engineer
40,Internal Audit Manager,Audit Manager
41,Management Trainee,Management Trainee
42,Training to become a Certified Personal Trainer,Certified Personal Trainer
43,High School Teacher and Coach at Yorktown ISD.,High School Coach
47,Doctor of Chiropractic,Chiropractic Doctor (DC)
48,"Director, Southwest at Tampico Beverages",Director
50,Master Tax Advisor and Enrolled Agent at H&R Block,Block Advisor
51,Teacher - Language Arts & Special Education,Education Teacher
52,NAWDC JCAS Branch Officer // Naval Aviator,Aviator
53,Sales Leader - Workday,Sales Leader
54,Production Supervisor at Perspective Therapeutics,Supervisor
56,Project Officer at Sustainable Environment & Ecological Development Society,Development Officer
57,"Credentialing Specialist at Valley Health Team, Inc.",Credentialing Specialist
58,Command Master Chief at US Navy,Chief
62,Assistant HR Manager,Trust Manager Assistant
64,Learning and Development Leader ⎮ Program Manager⎮ Education and Training Consultant ⎮ Nonprofit Board Member,Education and Development Manager
65,Advisor Consulting Director at FLX Networks,Advisor
68,"Sr. Software Developer at Press Ganey Associates, Inc",Software Developer
70,"Exceptional Children Consultant at Department of Education, Commonwealth of Kentucky",Education Consultant
71,Experienced Help Desk Technician and Field Technician with over 9 years of experience,Help Desk Technician
72,SAP Developer at LyondellBasell,C Developer
73,Accountant at Aspen Medical Group | 14 years experience,Accountant
74,Senior Staff Software Engineer at Qualcomm,Software Engineer
81,Order Specialist,Order Clerks - Materials Specialist
83,"Sector Director, Safety, Health and Environment at BAE Systems",Health Director
86,Curriculum Coordinator at Gilbert Christian Schools,Curriculum Coordinator
87,Chief Operating Officer at Innovid,Chief
88,Human Resources Business Partner at Mativ,HR Business Partner (Human Resources Business Partner)
89,Director Total Rewards at Collectors,Director
90,"Design Engineer, Project Manager, Automation Application Engineer, Manufacturing Engineer",Manufacturing Project Manager
93,Speculative Fiction Author,Fiction Author
94,Technical Sales Specialist,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products - Sales Specialist"
96,"Software Development Engineer I @ Amazon | Software Development, Cloud Computing",Software Development Engineer
101,"I value safety, integrity, respect, improvement, servant leadership, courage, and citizenship.",Servant
102,Science Teacher | Maker | Experiential Educator | Lifelong Learner | Ecology | Earth Science,Ecology Teacher
103,Product Manager at DoorDash,Product Manager
104,Theatre/Film Director,Director
105,Lieutenant at Prince William County Department of Fire & Rescue (Retired),Fire Lieutenant
110,Integrated Planning Supervisor at Alyeska Pipeline Service Company,Supervisor
111,Mechanical Engineer @ MakerBot,Mechanical Engineer
112,Graduate Student at Texas Tech University Health Sciences Center,Graduate Student
115,Quantitative Developer,C Developer
