position_idx,position,match_title
1,Occupational Therapist working IP Rehab,Occupational Therapist (OT)
6,City Clerk at City of Des Plaines,City Clerk
10,"Founder, Web Developer at Simplement",C Developer
12,Investment Banking Summer Analyst @ Credit Suisse,Banking Analyst
13,Reading Specialist,"Special Education Teachers, Kindergarten - Reading Specialist"
14,Intake Coordinator/Social Worker at Step Up on Second VASH Program,Intake Worker
15,Actuary at SCOR,Actuary
16,Resident Physician at Pennsylvania Presbyterian Medical Center,Resident Physician
18,Data Engineer Consultant at Apple,Data Consultant
19,Practice Administrator at Pediatric Affiliates of Hampton Roads,Administrator
20,"Business Coach, Psychologist. Specializing in building clarity in your college major choice and career transitions.",Career Coach
21,Warehouse Supervisor at The Premier Truck Group,Supervisor
22,"Professor, Department of Computer Science & Director, MS in Information Systems, George Mason University",Information Director
23,Educational Therapist at Trombetta Therapy,Educational Therapist
24,IT Consultant with Cayuga Information Systems,Information Systems Consultant
25,Petroleum Engineer | Chemical Engineer | Upstream & Midstream Operations | Production Engineering | Flow Assurance | Fluid Hydraulics,Chemical Engineer
31,Construction Professional,AP BD+C (Accredited Professional in Building Design and Construction)
35,Member Relations Specialist & Event Coordinator at The Club at Castlewood,Relations Specialist
36,Teller Supervisor at State Bank of The Lakes,Supervisor
37,Chemist at Joint Research and Development,Chemist
38,Composer,Music Directors and Composers - Composer
42,Research Assistant at UT HEALTH Houston,Health Assistant
43,certified medical assistant,Certified Medical Assistant (CMA)
45,Project Engineer,Aeronautical Project Engineer
47,Director Customer Support at Inflection,Director
49,Site Civil Engineer at ExxonMobil,Civil Engineer
51,Real Estate Agent at Apartment Hunters,Real Estate Agent
52,High-Impact Data Analyst | Strategic Insights | Information Synthesis | Project Management | Servant Leader | Content Creator | Mental Health Diplomat,Project Leader
53,Conventional Underwriter at Superior Meadows Mortgage Services,Mortgage Underwriter
57,Real Estate Professional,Real Estate Professional
60,Accountant at Aspen Medical Group | 14 years experience,Accountant
63,Executive Assistant,Executive Secretaries and Executive Administrative Assistants - Administrative Assistant
66,"Principal Talent Development Specialist, Person Centered Thinking Trainer, Disability Advocate, Social innovator, Corporate Trainer",Corporate Trainer
67,BEng Mechanical Engineering,Mechanical Engineering Director
68,Compliance Manager at ZenBusiness Inc.,Compliance Manager
69,"Sector Director, Safety, Health and Environment at BAE Systems",Health Director
70,REGIONAL MAINTENANCE DIRECTOR,Regional Director
71,Sales & Marketing,Marketing Managers - Marketing Sales Supervisor
73,Marketing student | Customer Service Representative at State Farm,Customer Service Representative
74,Assistant to the Vice President for Student Affairs and Dean of Students at Randolph-Macon College,President
75,Critical Facility Engineer,Facility Engineer
76,Partnership Operations Manager for Paramount+ at ViacomCBS,Gas Operations Manager
80,illustrator and graphic designer,Graphic Designer
83,Telecommunications Specialist,Telecommunications Management Specialist (Telecom Management Specialist)
84,Financial Intelligence Analyst II,Financial Intelligence Analyst
85,Project Manager at MassMutual Financial Group,Financial Manager
86,Retired Firefighter,Firefighter
87,"Director, Customer Experience Strategy and Enablement at CVS Health",Health Director
89,Protocol Engineer,VOIP Engineer (Voice Over Internal Protocol Engineer)
98,"Registered Nurse, Cardiology / Telemetry",Telemetry Nurse
99,"Director, Strategic Sales Development at United Rental",Sales Director
100,SAP ABAP Consultant,SAP Consultant
104,Substations Supervisor at Central Maine Power Company,Supervisor
108,Data Engineer | Social Media Strategist,Social Media Strategist
111,"City Clerk, City of Los Altos",City Clerk
112,Wildlife Research Assistant at University of Michigan Carnivore Ecology Lab,Research Assistant (RA)
114,Certified Dental Assistant,Certified Dental Assistant (CDA)
116,"Financial Controller ""Leading Financially Through Communication & Integrity""",Financial Controller
117,"IT Support Analyst and Professional Bassist, Jacksonville, FL. Mayo Clinic Senior Support. Bassist with the Boogie Freaks. Bassist at Crossroad UMC.",Support Analyst
118,"social worker at destiny home health agency, houston tx",Home Worker
122,Junior Software Engineer,Software Engineer
123,President & CEO,President
125,Educator | Pianist,Pianist
126,Quality Management Professional | Business Transformation | Revenue Growth,Business Professional
127,"Sr. Graphic Designer at Martin's Famous Pastry Shoppe, Inc.",Graphic Designer
128,"Director of Strategy & Business Development at Covectra, Inc.",Director
129,Director at YMCA International Learning Center,Learning Director
130,"Restaurant AP & Licensing Manager, Restaurant Construction Accounting Manager",Construction Manager
131,"General Manager - Corpus Christi, TX at Gulf Stream Marine",Marine
133,Administrator at Independent Manor,Administrator
134,Graduate Teaching Assistant at The University of Akron,Graduate Teaching Assistant (GTA)
136,Front-end Developer at Local Coding,C Developer
137,Guidance Counselor at La Salle Institute,Guidance Counselor
139,Software Engineer at PayPal,Software Engineer
140,"Communications Coordinator @ The Independence Fund| Realtor @ TTR Sotheby’s International Real Estate Alexandria, VA",International Coordinator
141,Real Estate Broker,Real Estate Brokers - Broker
142,Electrical Engineer,Electrical Engineers - Automation Engineer
145,Graduate Research And Teaching Associate at The Ohio State University,Graduate Teaching Associate
146,Sr. Unified Communications Engineer,Unified Communications Engineer
150,Vice President at American Payroll Association,President
152,Former Director of Group Sales at Sheraton Crescent Hotel Phoenix,Sales Director
153,Assistant Director of Rooms at The Ben Hotel,Hotel Director
154,Assistant Director of Athletics/Director of Athletic Performance - University of Vermont,Athletic Director
157,Incoming recruiter at Insight Global and former student-athlete at Towson University,Recruiter
158,Industrial Designer,Industrial Green Systems Designer
161,Client Relationship Manager at Compass Advisory Group,Client Relationship Manager
165,Operations manager,General and Operations Managers - Building Manager
167,Attorney at Dentons,Attorney
170,--Office Manager,General and Operations Managers - Office Manager
172,Pretrial Officer at Stark County Family Court,Court Officer
173,Leadership & Career Coach | Small Business Owner & Entrepreneur | Facilitator | Strategist | Working with educators to reach their personal and professional goals,Business Professional
174,Avon Independent Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel - Independent Sales Representative"
175,Professor at University of California San Diego,University Professor
179,Registered Medical Assistant at OSF HealthCare,Registered Medical Assistant (RMA)
182,Social Media Content Creator and Communication and Media Student at DePaul University,Content Creator
183,Financial Advisor,Personal Financial Advisors - Financial Advisor
186,Biophysics Ph.D. Student and Teaching Assistant,Teaching Assistant (TA)
187,Import Supervisor at Arman Rouyan Group Co. Ltd.,Supervisor
188,Director of Speech and Debate at University of Nebraska-Lincoln,Director
189,Paralegal at Assurity Legal LLC,Paralegal
190,Lead Technical Application Engineer,Technical Engineer
191,Family Physician at Atrium One Health,Family Physician
195,Purchasing Manager at Cascades Tissue Group,Purchasing Manager
196,Patient Care Coordinator at Nicole Palmer Eldercare,Patient Care Coordinator
199,Veterinary Technician at Midwest Animal Hospital,Animal Technician
200,Owner/Art Facilitator at Cognitive Art Connections,Facilitator
203,"M.B.A., Lead System Safety Engineer",System Safety Engineer
204,Nurse Educator,Nurse Informatics Educator
205,Labor and Delivery Nurse,Delivery Nurse
207,"Vice President, Independent Demand Facilitation",President
209,House Coordinator Supervisor at North Valley Hospital,Hospital Supervisor
210,Registered Nurse,Registered Nurse Clinical Information Systems Coordinator (RN Clinical Information Systems Coordinator)
211,Registered Nurse with Travel Nurse Across America,Travel RN (Travel Registered Nurse)
214,Graduate Student at University of North Carolina Wilmington,Graduate Student
218,Sales Manager at Western Systems & Fabrication,Sales Manager
219,Technical Recruiter,Recruiter
224,Sales and Marketing,Marketing Managers - Sales and Marketing Director
226,Director Of Information Technology at Mobile County Health Dept,Information Director
227,Business Administration Graduate | Master's Student in Managing Information Systems,Graduate Student
230,Administrative Assistant at Prarie View A&M University,Tax Administrative Assistant
231,Vice President,Executive Vice President (EVP)
232,Associate Attorney,Attorney
236,Associate Professor at University of Utah,University Professor
238,President at JD Thornton Nurseries,President
240,Early Childhood Teacher at Head Start of Greater Dallas,Start Teacher
241,Sr Systems Administrator,Administrator
242,Senior Project Manager at Okland Construction,Construction Manager
243,Regulatory & Research Data Coordinator - Clinical Trials Office,Clinical Coordinator
245,Financial Representative at Northwestern Mutual,Financial Representative
247,Environmental Manager- Tate & Lyle,Environmental Manager
249,Transformational Life Coach,Life Coach
250,Senior Development Manager at Make-A-Wish Orange County and the Inland Empire,Web Development Manager
251,Software Engineer at SAIC,Software Engineer
253,Foster Care Family Caseworker at The Center for Youth and Family Solutions,Family Caseworker
255,"Associate Attorney at Schroder & Strom, LLP",Attorney
257,Homemade Blog-Content Editor,Content Editor
259,Elementary School Nurse,School Nurse
260,Assistant Bureau Director at Nassau County Police Department,Director
262,Software Development Engineer at Amazon,Software Development Engineer
266,Chief Happiness Officer + Vibe Manager,Chief
269,Special Education Teacher Assistant at Ola Copeland Academy,Education Teacher
270,3rd Assistant Engineer at Marine Engineers Beneficiary Association,Marine Engineer
273,Project Manager | Operations Manager,Network Operations Project Manager
274,Outreach Manager Oak Street Health,Health Manager
279,Assistant Director at the Primrose School of Gilbert at Santan,School Director
281,"President, Pi Kappa Alpha- Delta Kappa",President
282,Development & Communications Coordinator,Community Development Coordinator
283,Innovation Technologist at Micron,Technologist
285,Associate Broker at Berkshire Hathaway Home Services Kee Realty,Broker Associate
286,Senior Java Developer at IT Grids Ltd,Java Developer
288,HR Consultant/Benefits Specialist,Benefits Consultant
289,Holistic Therapist | Self-Directed Education | Herbalist | Maternal Health Equity Advocate,Health Advocate
291,Account Manager II - Copack Sales at Refresco,Sales Account Manager
295,Administrative Clerk II at City Of American Canyon,City Clerk
296,Project Manager at Diversified Maintenance,Project Manager (PM)
299,"Director Environmental, Health, and Safety at Nelson Labs",Health Director
300,English Teacher at North Border-Pembina High School,High School English Teacher
302,Physician Assistant Student,Physician's Assistant
303,Senior Teller at Webster Five Cents Savings Bank,Bank Teller
305,"Associate Pastor, Falls Church Presbyterian Church",Church Pastor
307,Human Resources,HR Administration Director (Human Resources Administration Director)
309,Sales Management Intern at PepsiCo | Business Management & International Business Major at University of Maryland College Park | Manager at McDonalds,Sales Manager
310,Executive Director of Academic Student Success Programs at Cornell University,Executive Director
311,Branch Chief COOP/Alt Sites-STRATCOM J34,Branch Chief
313,"Regional Business Director at MSS Solutions, LLC",Regional Director
315,FNP,Family Nurse Practitioner (FNP)
320,Shipping Supervisor,"Transportation, Storage, and Distribution Managers - Shipping Supervisor"
325,Independent,Independent Insurance Adjuster
327,GI and Molecular Pathologist with interest in experimental therapeutics and drug development,Molecular Pathologist
328,President at Helro Corporation,President
331,Medical Biller and Coder,Coder
334,Head of Sales | Go-To-Market Strategist | Catalyst | Irish Trad Musician,Musician
335,Program Director at Lift For Life Gym,Director
336,Store Manager at Johnson Fitness & Wellness,Wellness Manager
337,"Financial Intelligence Analyst IV, BSA/AML Analysis, Risk, and OFAC Compliance at Navy Federal Credit Union",Credit Risk Analyst
339,Administrative Assistant at MTW District Health Department,Health Assistant
341,President of DeorumShalom.com (Non-Profit for disabled Veterans) In the top influential crypto influencers in the world.,President
342,Project Leader Global Supplier Quality at Abbott,Project Leader
344,Chief Department Radiation Oncology Delaware County Memorial Hospital,Chief
345,★ Real Estate Sales ★ Medical Device Sales ★ Business Development ★ Tactful Closer ★ New Product Launch ★ B2B ★ Strategic Sales Strategizing ★ Client & Vendor Relations ★ Sales Forecasting ★ Prospecting,Sales Vendor
346,Technologist and Cyber Security Enthusiast,Technologist
347,Former company President now enjoying a less stressful life,President
349,Licensed Marriage and Famly Therapist Private Practice,Licensed Therapist
350,Broker Associate at Lila Delman Real Estate,Broker Associate
352,School Psychologist at Alhambra Unified School District,School Psychologist
353,Director of Technical Services & Program Management | Adaptable Service Delivery Leader Driving Digital Transformation to the Cloud for Stability and Ease | Portfolio Management | Information Technology Services,Information Director
354,Senior Development Accountant @ TCB,Accountant
356,Assistant Athletic Trainer at Phillips Academy Andover,Athletic Trainer
358,Full-Stack Software Developer at BNY Mellon,Software Developer
361,Customer Success Specialist,Customer Specialist
362,Teacher at Lenawee Intermediate School Sistrict,Intermediate Teacher
364,Supervisor at Manatee Schools,Supervisor
366,Child Advocate at CASA (Court Appointed Special Advocate),Court Advocate
367,"UAV Pilot/Inspector at EROCK Aerospace (a division of EROCK Associates, LLC)",Aerospace Inspector
369,Sales Engineer - Territory Manager | Chemical Engineer | Results Driven and Customer Focused | Biotechnology,Sales Manager
370,Licensed Insurance Agent at USHEALTH Advisors,Insurance Agent
373,Sales Consultant at First National Merchant Solutions,Merchant
374,Director of Enterprise Sales and Partnerships at Stampli,Sales Director
376,Electrician,Solar Commercial Installation Electrician Manager
377,Principal Engineer at Naval Nuclear Laboratory (FMP),Naval Engineer
378,"Entrepreneur, Owner & Administrator",Administrator
382,Shop Supervisor/Fitter/Welder at PWRrentals,Supervisor
384,Personnel Officer at United States Marine Corps,Marine
385,"vice president sales and marketing at volunteer express, inc",President
386,Bartender/Server/Singer/Actor,Actor
388,Attorney at Rehberg Law Group,Attorney
389,Software Engineer at Solerity,Software Engineer
390,"Assistant professor at University of California, San Diego - School of Medicine",University Professor
391,Business Development Manager at MarineMax,Web Development Manager
395,Retail Accounting Supervisor at SUPERVALU,Supervisor
400,Corporate Recruiter - Mesirow,Corporate Recruiter
401,Staff Accountant at LorchGreene,Accountant
405,"Counselor/Assistant Clinical Supervisor at Sojourner House, Inc.",Clinical Supervisor
406,IT Operations Manager,Site Operations Manager
407,"Executive Vice President, Business Insurance",Business Executive
409,Director Of Admissions at Aquinas College - Grand Rapids,Director
410,General Manager,General and Operations Managers - Building Manager
411,Associate General Counsel-Contracts at Las Vegas Sands Corp.,Counsel
418,"Sr. Category Development Manager at Duracell, a Berkshire Hathaway Company",Category Manager
419,Substitute,Long Term Substitute Kindergarten Teacher
420,Office manager,General and Operations Managers - Office Manager
421,"Jewel and James Prestage Professor of Political Science, Southern University and A&M College",Political Science Professor
422,Director of Video Production at CSL Pro,Director
423,President at Prime Estimating & Software Services Inc.,President
425,Sales Administrator / Strategic Communicator / Bilingual,Sales Administrator
426,Owner at Rousseau Insurance Agency,Agency Owner
427,Director of Quality Assurance at LHI,Quality Director
431,Maryland Incident Management Team Deputy Coordinator,Deputy
434,Service Information Engineer at Caterpillar Inc.,Information Engineer
435,Paralegal at League of Minnesota Cities,Paralegal
436,Internet,Internet Marketing Manager
437,Executive Assistant to the Regional President - Oregon/SW Washington at PNC Bank,Bank President
439,Laborer at Voganville Masonry,Masonry Laborer
440,Early Educator | Servant Leader,Servant
441,Marketing Director at World Financial Group,Financial Director
442,Intellectual Property Litigation and Licensing Attorney,Attorney
443,Captain,"Drafters, All Other - Job Captain"
444,Licensed Physical Therapist Assistant,Licensed Therapist
446,Assistant Fire Chief at City of Napoleon Fire Department,Fire Assistant
450,One Year of Enterprise level Full Stack Development experience working as an Associate Software Engineer Actively seeking new remote opportunity!,Full Stack Software Engineer
451,Non-executive Director/Board Member at Critical Control Energy Services,Executive Director
452,Retail Professional,Retail Parts Professional
453,Executive & Success Coach,Coach
456,Sr Human Resources Generalist at The Scotts Miracle-Gro Company,HR Generalist (Human Resources Generalist)
457,"Business Executive | Strategy, Growth & Transformation Leadership | Product & Technology Architect",Business Executive
459,"Software Engineer, Machine Learning @ Meta",Software Engineer
462,President at Connectivity Solutions Inc & Firefighter / Paramedic at Orlando Fire Department,President
463,"Senior Implementation Manager at Maxor National Pharmacy Services, LLC",Pharmacy Manager
466,Graphic Designer at Haskell Monument Works,Graphic Designer
467,Organizational Management,Industrial-Organizational Psychologists - Management Consultant
468,General Dentist,Dentist
471,Fine Artist,Fine Craft Artist
475,Salesperson,Floral Designer Salesperson
477,Technology Specialist,Information Technology Security Specialist (IT Security Specialist)
478,Software Engineer | MS CompEng | Veteran | Sec+ |,Software Engineer
481,Senior Immigration Services Officer at U.S. Department of Homeland Security,Immigration Officer
485,Experienced Marketing & Events Executive,Marketing Executive
489,3D Modeling / Animation Artist at Intuitive Machines,Animation Artist
491,General Manager - Permian Basin at Dorado Transportation,Transportation Manager
492,Real Estate Agent,Real Estate Brokers - Closing Agent
494,Call Center Manager at Forbright Bank,Bank Manager
496,"Manager, Global Credit Card Programs at Panasonic Avionics Corporation",Credit Manager
499,"Associate Director, Business Relations",Director
505,Nursing Assistant/Licensed Practical Nurse at Indian Hills Healthcare Community,Nurse Assistant
506,Pay Business Development,Chief Executives - Business Development Executive
507,Account Manager,Advertising and Promotions Managers - Account Manager
508,Clinician at Holcomb Behavioral Health Systems - A Chimes Company,Behavioral Health Clinician
509,Senior Service Advisor,Advisor
510,Information Security Engineer at Apriva,Information Engineer
511,"PIC Analyst (Supply Chain Analyst) at Precision Products, Inc.",Supply Chain Analyst
512,"Office Manager, Legal & Personal Assistant for Matt Juhl Darlington at Dannis Woliver Kelley, Education Law Firm",Legal Assistant
514,Executive Director at Herb it Forward Foundation,Executive Director
517,Elementary Teacher,"Elementary School Teachers, Except Special Education - Art Teacher"
519,Advertising Account Executive at Spectrum Reach,Account Executive
520,Editor,Field Map Editor
521,Graduate Student in Urban and Regional Planning,Graduate Student
522,Director Of Construction at UGDC,Construction Director
523,Retired Superintendent at Searcy County School District,School Superintendent
525,Vice president,Executive Vice President (EVP)
526,"Manager, Revenue Shared Services",Services Manager
528,Software Engineer at Bolt,Software Engineer
529,One-Year MAcc Graduate Student at Penn State,Graduate Student
532,Writer and Editor for Film and Video,Film Writer
537,Lobbyist at VIRGINIA GOVERNMENTAL EMPLOYEES ASSOCIATION INC,Lobbyist
539,"3rd grade teacher at Centerfield Elementary, Oldham County Public Schools",Elementary Teacher
540,"Senior Developer at RealPage, Inc.",C Developer
541,Graduate student in teaching secondary mathematics at Seattle Pacific University,Graduate Student
542,"Financial Advisor at Ameriprise Financial Services, LLC",Advisor
543,Director of Admissions,Director
547,President at Impĕro Inc.,President
548,"2019 CSUF grad with a concentration in Finance | Extensive job background as a financial advisor, valuations analyst, & an office assistant. Motivated professional seeking new opprotunities in business-related jobs.",Job Analyst
549,HR Operations Specialist for American Savings Bank,Web Operations Specialist
552,Computer Science Master’s Student at UPenn | Research Assistant at Brown University,Research Assistant (RA)
553,Audit Senior Associate at KPMG,Audit Associate
555,operations support specialist,Computer Network Support Specialists - Network Operations Specialist
556,"Manager, Media Relations at Big Loud",Media Manager
557,Educational Leadership EdD Candidate | Professional Educator | Social Justice Advocate,Justice
559,Business Management Student at Florida State University | Content Coordinator | Outdoor Pursuit Trip Leader,Business Coordinator
561,Assistant Research Professor at Arizona State University,University Professor
563,Partner Success Manager at The Social Institute,Success Partner
564,Director Chappaqua Continuing Education at Chappaqua Central School District,School Director
565,Manager of Medical Informatics at Brown Medicine,Medical Manager
566,Inventory clerk/ Security at Pro Edge Services and Training Inc.,Services Clerk
570,Management Professional,Oil and Gas Operations Management Professional
571,Special Education Teacher,Education Teacher
573,Materials And Process Engineer at Boeing,Materials Engineer
576,60th AMXS AMU Chief at United States Air Force,Chief
577,"President, Accounting & Taxes, Inc",President
578,Case Manager at Providence St Joseph Hospital,Hospital Manager
579,"Director of Claims at Disability Management Services, Inc.",Director
583,"Owner, President at William Palmer Associates, Private Wealth Management and Retirement Planning",President
584,Executive Vice President Sales & Partnerships at Breaktime Media,Media Executive
585,Legal Counsel (retired) from Constellation/Exelon,Counsel
588,Certified Residential Appraiser & Realtor at Hawkins Realty Group,Certified Residential Appraiser
592,Branch Supervisor at SOFTITE COMMUNITY FEDERAL CREDIT UNION,Supervisor
595,Director of Field Installations at Division12 Consulting,Director
596,Supervisor Health Information Management,Supervisor
597,Workload Forecasting (Nuclear Engineer) at Norfolk Naval Shipyard,Naval Engineer
600,Staff Accountant,Accountant
601,Placement Specialist at CHCS,Placement Specialist
602,Administrative Assistant at USEPA,Tax Administrative Assistant
604,Corporate Accountant at Coilplus,Accountant
605,"Director, EH&S Compliance and Sustainability at Collins Aerospace",Sustainability Director
606,Studio Director / Senior Architect at Kelly & Stone Architects,Director
607,Compliance Manager at Miller Industries,Compliance Manager
611,Undergraduate Researcher and Medical interpreter,Medical Researcher
612,Director of Client Services at PADGETT BUSINESS SERVICES®,Director
614,LL.M/Lawyer/Lecturer,Lawyer
617,"SHOP FOREMAN at WAARNG, Manuever Area Training Equipment Site",Foreman
618,Owner/Floral and Event Designer at Amber Reverie,Floral Designer
620,Manufacturing Engineer/Environmental Coordinator at Dodge Industrial Inc – An RBC Bearings Company,Environmental Engineer
621,Sr. Train Control and Communication Engineer,Control Engineer
628,Kindergarten Teacher at Franklin Elementary @ Brimhall,Elementary Teacher
629,AV Technician,Audio Visual Aids Technician (AV Aids Tech)
630,Professor of Chemistry at Cedar Crest College,Chemistry Professor
632,"Doctorate of Social Work student (DSW), Bereavement Coordinator at HOSPICE OF THE UPSTATE INC",Bereavement Coordinator
635,Certified Loan Signing Agent,Signing Agent
636,Consulting Petroleum Engineer at Blackwell Operating Company,Petroleum Engineer
640,Pharmacy Manager at Walmart,Pharmacy Manager
641,Dental Assistant at Coast Dental,Dental Assistant (DA)
642,Associate Attorney at The Law Offices of Gregory Allen P.C,Attorney
643,SELF EMPLOYED at SELF EMPLOYED ACCOUNTANT & TAX PREPARER,Accountant
644,Sr. Business Development Officer at KEMBA Financial Credit Union,Development Officer
645,"founder, advisor, BD, angel, investor.",Investor
646,Professional Athlete at San Diego Legion,Athlete
647,Marketing Coordinator,Digital Marketing Coordinator
648,Software Engineering Manager - Mobile,Software Manager
649,Payroll analyst at Frontier Communications,Data Communications Analyst
651,Director of Technology at KVUE-TV,Technology Director
652,Director of Chapter Services at Alpha Epsilon Phi Sorority,Director
653,"Finance Executive: Chief Financial Officer, FP&A Director",Executive Director
654,Insurance Specialist,Medical Insurance Coding Specialist
655,Senior Network Administrator at Aspirus Health,Administrator
657,IT Development Manager at Frontier Communications - Retired,Web Development Manager
658,Litigation Paralegal,Litigation Paralegal
661,Founder and Director,Director
662,Senior Physician Recruiter & Talent Advisor at WVU Medicine,Recruiter
665,Real Estate Title Abstractor at Pamela Hays Abstracting,Abstractor
666,Graphic Designer/Structural Engineering at AdArt Co.,Graphic Designer
669,Program Coordinator/Project Coordinator/Executive Administrative Assistant/Office Manager,Administrative Manager
672,General Manager at Christopher Ranch LLC,Ranch Manager
673,Benefits Representative at BlueCross BlueShield of Tennessee,Benefits Representative
675,Chief publisher at Military Car Lot,Chief
677,"Data Security, Compliance and Development on the Salesforce Platform | Accomplished Enterprise Platform Account Executive | FY’ 23 Achievers club",Account Executive
678,2008 President of the Council Of Residential Specialists,President
683,Chief Marketing Officer (CMO) | Strategy | Innovation | Business Transformation,Chief Innovation Officer
684,Medical Device Representative,Medical Device Sales Representative (Medical Device Sales Rep)
686,Caregiver HHA at Home Instead Senior care,Home Caregiver
687,Software Engineer - Backend - at Real Vision,Software Engineer
688,data analyst,Supply Chain Data Analyst
689,General Manager/Executive Chef,Chef Manager
690,Risk Advisor at Kamm Insurance Group - A Relation Company,Insurance Advisor
691,Teller | Improving Techniques for Better Efficiency,Teller
694,Sr Global Trading Specialist at Charles Schwab,Trading Specialist
695,Server at Grand Lux Cafe,Cafe Server
700,Retired Deputy Chief from the Oswego Police Department,Chief Deputy
703,Manager & Actuary at Independence Blue Cross,Actuary
707,Faculty Workload Administrator at University of Rochester School of Nursing,Administrator
708,"Senior Program Manager, Amazon Web Services",Web Manager
709,"Post-Exit Founder | Global Commerce @ Media.Monks | Investor, Advisor, Director | Host of The Nex6 Project",Media Director
713,Virginia professional Home Inspector,Home Inspector
716,Freelance Press Writer,Press Writer
717,General Manager at Tarheel Linen Service,General Manager (GM)
718,Operations Manager Columbia SC and Augusta GA,Gas Operations Manager
720,Audit Associate at N&K CPA,Audit Associate
722,Electrical Engineer at Apple,Electrical Engineer
723,Educational Consultant at Various Non-Profit and For Profit Organizations,Educational Consultant
724,"Total Productive Maintenance (TPM) Manager Plastipak, Plant City",City Manager
727,Senior Customer Support Specialist at Billtrust,Customer Specialist
728,Brand Champion | Facilitator of bringing products to market | Innovative CPG Sales Solutions | Marketing & Sales Account Management |,Facilitator
729,Associate Software Engineer,Software Engineer
732,Business Development Representative at Oracle NetSuite,Business Development Representative
733,Parts Director at Charles Maund Toyota,Director
735,Income Tax Preparer at ATAX Allentown,Income Tax Preparer
736,Compensation Analyst at United Rentals,Compensation Analyst
737,Administrator at Thomas Jefferson National Accelerator Facility,Administrator
738,"Assistant Manager at PNC Bank, N.A.",Bank Manager
739,Operations Manager RECARO North Amercia,Gas Operations Manager
742,Software Engineer,Software Developers - Application Support Engineer
743,Senior Delivery Operations Specialist at Armanino LLP,Delivery Specialist
744,"Aircraft Systems Supervisor at Aviation Flight Facility, Missourin Army National Guard",Supervisor
746,"Associates Degree-Medical Administrative Assistant|Inside Sales Customer Service Representative|Customer Service Representative|HEDIS Experience|HIPAA Compliance|CPT, HCPCS Codes|Medical Terminology",Compliance Representative
747,Food Service Specialist in the Marine Corps.,Marine
751,Director of Marketing and Social Media at Special Event Services,Media Director
753,Account Executive Sales Kellogg Company,Account Executive
754,"Professor & Head of the Department, IACS",C++ Professor
756,Fine Arts,Fine Arts Professor
