position_idx,position,match_title
2,Technical Recruiter at Spectraforce Technologies,Recruiter
3,Customer Service Representative at Progressive Insurance,Insurance Representative
5,Human Rights Legal Fellow at RFKHR Int'l Advocacy and Litigation | Professor at USFQ | LL.M. in International Legal Studies by NYU,C++ Professor
6,Software Engineer at Facebook,Software Engineer
7,Physical Therapist Assistant,Certified Physical Therapist Assistant (CPTA)
9,"Creative writer and narrative weaver, with a vast knowledge of pop culture. Looking for new and exciting challenges.",Narrative Writer
12,Executive Director at ITNGreaterKansasCity,Executive Director
13,Managing Director at KPMG,Director
14,Methods Process Analyst at Boeing,Methods Analyst
18,Technical Engineer at US Army,Technical Engineer
19,Attorney at Law,Attorney
21,"President & CEO, Comcore Technologies, Inc.",President
22,Project Manager Assistant at IES Communications,Project Assistant
25,Assistant Professor of Computer Science at City University of New York (CUNY) Hunter College,Computer Science Assistant Professor
26,Clinical Care Coordinator,Clinical Coordinator
27,Solution-focused and Results-driven Training and Development - Strategy Builder - Business Etiquette Guru - Public Speaker - Community Focus. Talks about #diversityinclusionequity,Builder
28,Texas A&M graduate and current medical scribe,Scribe
29,"Vice President of Human Resources at Enthusiast Enterprises, Inc.",President
31,"Former Disney, HBO, Showtime: Marketer I Brand Builder I Content Creator I Writer I MBA",Marketer
32,Psychologist - Lighthouse Behavioral Health PLLC,Behavioral Psychologist
34,Retail Professional,Retail Parts Professional
36,CPA,Certified Public Accountant (CPA)
38,Account Manager,Advertising and Promotions Managers - Account Manager
39,Produce Associate at Fresco y Más,Produce Associate
40,Bartender at AirBar,Bartender
41,Project Manager,Facilities Project Manager
47,Accounting Manager,Financial Managers - Accounting Manager
49,Freelance Journalist & Copywriter,Journalist
51,Creative Director at Send Out Cards,Director
53,Chief People Officer | Inspirational Leader | Culture Champion | Strategic Leader | HR Excellence,People Officer
55,Product Manager,Digital Product Manager
58,Attorney at Law Office of Charles A. Higgs,Attorney
59,Programming and Photography Teacher at The Vanguard School (High),Photography Teacher
60,Lead SQL/Coldfusion developer at PlanMember Financial Corporation,C Developer
62,Educator,Clinical Systems Educator
64,"Owner, Prairie Rehabilitation Services",Rehabilitation Services Aide
65,Information Technology Business Analyst I at LA County Library,Business Information Analyst
68,Media Planner,Digital Media Planner
69,Education,Education and Development Manager
70,Construction Manager at Hardrives of Delray,Construction Manager
72,Art Department Graphic Designer at Arkansas Tech University,Graphic Art Designer
74,Airline Captain at Delta Air Lines,Airline Captain
75,Per Diem Educational Consultant at PRO Unlimited,Educational Consultant
80,Project Manager at Sylvan Site Services,Services Manager
82,Production Supervisor,Industrial Production Managers - Production Control Supervisor
