job_title,match_title
Registered Nurse,Registered Nurse Clinical Information Systems Coordinator (RN Clinical Information Systems Coordinator)
CAD Technician,Architectural Computer-Aided Design Technician (Architectural CAD Technician)
Audit Manager,Audit Manager
ARNP,ARNP Specialist (Advanced Registered Nurse Practitioner Specialist)
Sr. Accountant,Accountant
Senior Fund Accountant,Accountant
Audit Manager - 1356678,Audit Manager
Windows Engineer,Windows Software Engineer
Host/Hostess,Vending Machine Host/Hostess
Staff Auditor,Auditor
Windows Engineer,Windows Software Engineer
Emergency Veterinarian,Emergency Veterinarian (Emergency Vet)
Line Cook,First-Line Supervisors of Food Preparation and Serving Workers - Cook Manager
Cook,Food Service Managers - Cook Manager
Foreman - Trips,Foreman
Sous Chef,Executive Sous Chef
Line Cook,First-Line Supervisors of Food Preparation and Serving Workers - Cook Manager
Line Cook - Broil/Grill,Broil Cook
Prep Cook,"Cooks, Fast Food - Prep Cook (Preparatory Cook)"
General Manager,General and Operations Managers - Building Manager
Chef,Chef Manager
Cook,Food Service Managers - Cook Manager
Help Desk Manager,Help Desk Support Manager
Network Engineer,Computer Network Support Specialists - Cloud Engineer
Porter,"Food Servers, Nonrestaurant - Food Porter"
Operations Manager,General and Operations Managers - Building Manager
Store Manager,Department Store General Manager
Store Manager,Department Store General Manager
RN - ICU,Cardiovascular ICU RN (Cardiovascular Intensive Care Unit Registered Nurse)
IT Consultant,Computer Systems Analysts - Information Technology Consultant (IT Consultant)
RN Med Surg,Med- Surg Travel RN (Medical Surgical Travel Registered Nurse)
Financial Controller,Financial Controller
Prep Cook,"Cooks, Fast Food - Prep Cook (Preparatory Cook)"
Sous Chef,Executive Sous Chef
Sous Chef,Executive Sous Chef
Staff Engineer,Staff Engineer
Auto Claims Adjuster,Claims Adjuster
(1) UI Developer,UI Developer (User Interface Developer)
Production Supervisor,Industrial Production Managers - Production Control Supervisor
Nurse Practitioner Core - MC,Nurse Practitioner (NP)
Mechanical Claims Adjuster,Claims Adjuster
Assistant Manager,Trust Manager Assistant
Payroll Manager,Compensation and Benefits Managers - Payroll Manager
Housekeeper I,Executive Housekeeper
Assistant Manager,Trust Manager Assistant
Assistant Manager,Trust Manager Assistant
Cashier,Pharmacy Cashier
Meat Clerk - Part Time,Time Clerk
Change Engineer,Crane Engineer
Dentist,Dentist
Dentist,Dentist
Field Crew Chief,Chief
Aquatics Specialist,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers - Aquatics Specialist"
Senior Software Engineer,Software Engineer
Dentist,Dentist
Accounting Clerk,"Bookkeeping, Accounting, and Auditing Clerks - Account Clerk"
Veterinarian,Emergency Veterinarian (Emergency Vet)
Veterinarian,Emergency Veterinarian (Emergency Vet)
PTA,Home Health Physical Therapy Assistant (Home Health PTA)
Lead Java Developer,Java Developer
HR Generalist,HR Generalist (Human Resources Generalist)
Operations Clerk,"Financial Clerks, All Other - Financial Operations Clerk"
Windows Engineer,Windows Software Engineer
Dentist,Dentist
Frontend Developer,C Developer
Windows Engineer,Windows Software Engineer
