job_title,match_title
Construction Quality Control Manager (USACE),Construction Manager
Senior Highway Engineer/Project Manager,Highway Project Engineer
"Nurse Practitioner, ARNP - Jewett Orthopedic Institute - Windermere",Orthopedic Nurse Practitioner
Processing Specialist IV - Retail Opening,Processing Specialist
Project Controls Engineer - Cost lead,Controls Engineer
Staff Nurse - Surgical,Surgical Nurse
Permian Electrical Engineer,Electrical Engineer
"Personal Financial Counselor, Assignment Ready Counselor, PFC, Rhode Island",Personal Counselor
"ASSOCIATE DIRECTOR, LGBTQIA+ CENTER FOR FACULTY & STAFF",Director
"Senior EP Mapping Specialist, Cardiac Ablation Solution - Boston, MA, Rhode Island, and New Hampshire Areas",Mapping Specialist
Executive Account Manager,Account Executive
"Clinical Staff Nurse OR L&D, Holtz Women and Children's Hospital, FT, Days",Clinical Nurse
"Lead, Customer Service Specialist",Customer Specialist
Lead .net Developer with PL/SQL,.NET Developer
Hub Master Control Operator,Master Control Operator (MCO)
Senior Paralegal/Case Manager,Paralegal
Field Superintendent (Multifamily Construction),Construction Superintendent
Production Planning and Scheduling Specialist,Scheduling Specialist
"Assistant Vice President, Civil Project Manager",President
Software Engineering - Sr Engineer,Software Engineer
"Technology Business Consultant, FIS University Program",Technology Consultant
Firefighter II,Firefighter
Construction Inspector - Southern NJ,Construction Inspector
Executive Assistant to the SVP,Executive Assistant
Senior Cost Controller - Decommissioning Projects,Cost Controller
Field Parts Advisor IV - Night Shift,Advisor
Division Accounting Manager,Division Manager
"Manager, Accounting Services",Services Manager
Analyst Marketing Operations,Marketing Analyst
Casualty Claims Specialist/Senior Claims Specialist,Claims Specialist
Senior Brand Protection Formalities Paralegal,Paralegal
"Assistant/Associate Director of Development, College of the Liberal Arts",Director
"Certified Nursing Assistant (CNA) - Waterville, ME",Nursing Assistant
Air Traffic Control Specialist - Colorado,Control Specialist
"Senior Control Systems Engineer* (Tonawanda, NY)",Control Engineer
Clerk of the Works Project Inspector,Project Inspector
Boiler/Refrigeration Operator - With Strong Industrial Experience,Boiler Operator
Marketing and Social Media Executive,Media Executive
Civil Project Engineer  | Moreton Bay Region,Civil Engineer
System Operator,Reducing System Operator
Paralegal - Corporate banking,Corporate Paralegal
"Clinical Evaluator PASRR - (LCSW, LMFT, LPCC or RN) - Santa Rosa, CA",Clinical Evaluator
Customer Service Representative-(Bilingual-Spanish),Customer Service Representative
Human Resources Business Partner (NY),HR Business Partner (Human Resources Business Partner)
Clinical Nurse - Emergency Department,Clinical Nurse
Mental Health Technician- Adolescent Unit- Belle Mead- FT/ Night,Mental Health Technician (MHT)
"Regional Account Manager-Midlands, North & Wales",Regional Manager
"Building, Ordinance, and Rental Code Inspector",Building Code Inspector
